"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"42","认知","数前概念","指出多少","在儿童面前摆放2只小碟，1只里面放2块小积木，另外一只放8块小积木。问儿童：“哪个碟子积木多？”再问：“哪个碟子积木少？”转换碟子位置问：“哪个碟子积木少？”，再问：“哪个碟子积木多？” （测试顺序：多、少、少、多）","2只小碟，10块小积木","36-48月","是","通过","答案正确","中间反应","允许出现1次错误","不通过","出现2次及2次以上错误"
"43","认知","数前概念","指认长短","将其中两根小棍摆放在儿童面前的桌面上，小棍一端对齐，然后问：“哪根小棍是长的？”，再问：“哪根小棍是短的？”示意儿童回答或指出。取走其中一根小棍，分别换其它小棍重复上述测试程序。 （测试顺序：长、短、短、长、长、短）","长短不一的圆形小棍各4根","36-48月","是","通过","能正确回答或指出","中间反应","允许出现2次错误","不通过","出现3次及以上错误"
"44","认知","数前概念","说出物件大小","测试员将两块积木分开摆放在桌面上，指着积木对儿童说：“看，这两块积木是不同的，它们有什么不同呢？”若儿童不明白，或没有反应，测试员则拿起较大的积木块，问：“这一块大呢还是小？”同样的程序测试小的一块。","外形相同、大小不同的积木两块","36-48月","是","通过","在每次测验中均能正确说出积木的大小","中间反应","在提示下，允许出现1次错误","不通过","完全错误"
"45","认知","数前概念","区别物体的轻重","将两块积木分别放在儿童手中，问：“哪个积木轻？”儿童正确反应后，将积木收回，另外换一块积木再进行比较。","大小相同、重量不同的三块积木","48-60月","是","通过","能正确做出判断","中间反应","允许出现1次错误","不通过","出现2次及以上错误"
"46","认知","数前概念","辨认一半和整个的东西","将玩具苹果随意摆放在儿童面前。对儿童说：“拿半个苹果给我”，儿童拿出苹果后，评估员先放回原位再问。若儿童把2个半个的苹果拿出，则重复说：“给我半个苹果”，如果儿童仍然拿2个半个的苹果，则不给予分数。然后说：“给我一个苹果”，（儿童拿出两个半个的亦可。） （测试顺序：半个、一个、一个、半个）","塑料玩具苹果—一个完整的，2个一半的。","60-72月","是","通过","答案正确","中间反应","能按要求交出苹果，允许出现1次错误","不通过","出现2次及以上错误"
"47","认知","数概念","重复2-3个数字","测试员吸引儿童注意，说：“现在我会说些数字，听清楚，我说完后轮到你把它们说出来”，然后用一秒一个数字的速度将各数字串说出。 每一个项目（2个或3个数字）均允许儿童尝试2次，但只在首次尝试出错时再给第二次尝试机会。 首次尝试 第二次尝试 5-9 3-7 4-1-8 9-6-2","无","24-36月","是","通过","准确地复述2个及3个数字","中间反应","能复述2个数字","不通过","不能复述"
"48","认知","数概念","按指示拿一定数目（1—5个）的物品","将积木放在桌面上，对儿童说：“拿2块积木给我”，待儿童做出反应后，重新将积木堆放再桌面上，重复测试程序——“拿4块积木给我”，依次测试其它数目。 （测试顺序：2、4、1、3、5）","外形相同的积木5块","48-60月","是","通过","按指令拿出正确的积木块数","中间反应","允许出现2次错误","不通过","出现3次及以上错误"
"49","认知","数概念","数出2块及7块积木","测试员将2块积木放在儿童面前，问：“这里有多少块积木？”（鼓励儿童在数积木时用手指指着）。 若儿童能数出2块积木，将剩余的5块积木全部散放在桌子上，重复以上的测试程序。","相同颜色的积木7块","48-60月","是","通过","正确数出或回答出2块和7块积木","中间反应","正确数出或回答出2块块积木","不通过","回答错误"
"50","认知","数概念","唱数","测试员请儿童数出1-10，说：“给我数一下1到10”，若儿童不明白，则给予协助，说：“1，接着是几啊？” 若儿童中途停下，测试员也可给予协助：“×（数字），跟着是什么啊？”","无","48-60月","是","通过","准确数出1-10，或者经提示1后，能数出2-10","中间反应","经3次提示后能够数出1-10","不通过","经提示后仍不能完成任务"
"51","认知","数概念","交出2块及6块积木","将积木放在桌面上儿童可以触及的范围内，要求儿童交出2块积木，说：“给我两块积木”。 将儿童交出的积木放回桌面，再要求交出6块积木","相同颜色的积木8块","60-72月","是","通过","正确交出2块及6块积木","中间反应","能正确交出2块积木","不通过","不能正确交出要求的积木数量"
"52","认知","认读数字（1-10）","数字卡（1-10）","测试员随意抽出一张数字卡，向儿童出示问：“这是什么数字？” 一段时间后，若儿童仍未有正确反应，测试员可说出第一个数字，但不需再测试同一数字卡。重复以上程序测试余下的数字卡，若儿童仍无反应，则无需继续测试。","","60-72月","是","通过","准确认读全部数字卡","中间反应","能正确认读部分数字卡（至少3张）","不通过","能正确认读的卡片数少于3张"
"53","认知","重复4-5个数字 无 重复（23）项的程序，测试重复4-5个数字，以1秒1个数目的速度读出。 首次尝试 第二次尝试","7-4-5-3 6-3-2-8","","8-7-4-9-3 9-2-1-3-6","60-72月","是","通过","准确地复述4-5个数字","中间反应","能准确地复述4个数字","不通过","不能完成任务"
"54","认知","重复4-5个数字 无 重复（23）项的程序，测试重复4-5个数字，以1秒1个数目的速度读出。 首次尝试 第二次尝试","简单加法运算","对儿童说：“我会出一些题目，你仔细听，然后告诉我答案” （1）“你有一块糖，我再给你一块，你一共有几块？ （2）“你现在有3辆玩具车，妈妈又买了4辆，现在你一共有几辆？”","无","60-72月","是","通过","用语言回答或用手势表示正确答案","中间反应","能正确回答一题","不通过","回答错误"
"55","认知","重复4-5个数字 无 重复（23）项的程序，测试重复4-5个数字，以1秒1个数目的速度读出。 首次尝试 第二次尝试","简单减法运算","对儿童说：“我会出一些题目，你仔细听，然后告诉我答案”。 （1）“你有3只气球，丢掉一只，现在还剩几只？” （2）“你现在有7颗巧克力，吃掉2颗，现在还剩几颗？”","无","60-72月","是","通过","回答或用手势表示正确答案","中间反应","能正确回答一题","不通过","回答错误"
"1","社会交往","社交前基本能力社交中的非口语能力","目光注视社交对象","测试员与儿童打招呼，观察儿童的反应。","","0-6月","是","通过","注视测试员的眼睛和脸部","中间反应","摇晃头部，但偶尔与测试员有目光接触","不通过","不看测试员，眼睛不停地看其它东西"
"2","社会交往","社交前基本能力社交中的非口语能力","与熟悉人3米距离内身体接触","测试员让儿童的妈妈，从3米的距离逐渐走向儿童，观察儿童的反应。","","6-12月","是","通过","会凑近妈妈，并且伸开手臂让妈妈抱","中间反应","看着妈妈走近自己","不通过","没有任何反应"
"3","社会交往","社交前基本能力社交中的非口语能力","与陌生人3米距离内身体接触","测试员（儿童不熟悉的测试员）从3米的距离逐渐走向儿童，观察儿童的反应。","","6-12月","是","通过","盯着测试员走近，直到测试员停下来","中间反应","看一眼正在走近自己的测试员，头转向照顾者","不通过","没有任何反应"
"4","社会交往","社交前基本能力社交中的非口语能力","陌生人走近儿童的身体","测试员（儿童不熟悉的测试员）从3米的距离逐渐走向儿童，观察儿童的反应。","","12-18月","是","通过","当测试员走到自己面前时看看测试员，并开始绕过测试员迈步向前走","中间反应","看着走到自己面前的测试员，站着不动","不通过","没有任何反应"
